prof_id,prof_label,rec_id,x,y,cds2d,output_be,cds3d_1,slopd_1
1,,103,342203.22746576666,4158861.550651497,102.00000000000654,2298.744181321636,103.09627588194245,-15.833864162205193
1,,104,342204.12296283746,4158861.9957189034,102.9999999999281,2298.4605713700957,104.1357154446183,-17.252895001307483
1,,105,342205.0184599082,4158862.44078631,104.00000000000477,2298.150007716826,105.18283042535609,-18.2316514117803
1,,106,342205.91395697894,4158862.8858537166,105.00000000008146,2297.8206121972476,106.23568436036884,-24.595126123294474
1,,107,342206.80945404974,4158863.330921123,106.00000000000301,2297.3628793433086,107.33546586840497,-25.564122212561294
1,,108,342207.7049511205,4158863.7759885294,107.0000000000797,2296.8845293210265,108.44398683977654,-27.653643619316185
1,,109,342208.6004481912,4158864.2210559356,107.99999999994913,2296.3605492274924,109.5729488135201,-29.826716333672024
1,,110,342209.495945262,4158864.6661233422,109.00000000007793,2295.7872244355544,110.72564188511733,-29.55697922996053
1,,111,342210.39144233277,4158865.1111907484,109.99999999994736,2295.2201381124332,111.8752448155285,-28.708744026777786
1,,112,342211.2869394035,4158865.556258155,111.00000000002404,2294.6724557318576,113.01540094086678,-28.357918580756632
1,,113,342212.18243647425,4158866.001325561,111.99999999989348,2294.1327065540063,114.15176759592578,-40.222392355302176
1,,114,342213.07793354505,4158866.446392968,113.00000000002228,2293.286970893957,115.46145030824071,-37.557216258427374
1,,115,342213.9734306158,4158866.8914603745,114.00000000009896,2292.518056103102,116.72288994442982,-28.46325542587644
1,,116,342214.86892768653,4158867.3365277806,114.9999999999684,2291.9759304882896,117.8603872771628,-32.7821152346687
1,,117,342215.76442475733,4158867.7815951873,116.0000000000972,2291.3319161669306,119.0498217841337,-34.80380511877477
1,,118,342216.6599218281,4158868.2266625934,116.99999999996663,2290.6367995648443,120.26768347177922,-26.884514869189776
1,,119,342217.5554188988,4158868.67173,118.00000000004331,2290.1298103910485,121.38886054187095,-23.67359133152111
1,,120,342218.45091596956,4158869.116797406,118.99999999991275,2289.6913907045036,122.48074506932291,-33.28933373013664
1,,121,342219.34641304036,4158869.561864813,120.00000000004155,2289.034779937372,123.67704674522686,-40.3240853764288
1,,122,342220.2419101111,4158870.006932219,120.99999999991098,2288.18599530465,124.98870041616443,-29.541848241651902
1,,123,342221.13740718184,4158870.4519996257,121.99999999998766,2287.6192579411822,126.13813124892638,-29.743129491031766
1,,124,342222.03290425264,4158870.8970670323,123.00000000011647,2287.0478699273544,127.28986223427135,-27.938431831202458
1,,125,342222.9284013234,4158871.3421344385,123.9999999999859,2286.51753807266,128.42178620514682,-21.226666536616097
1,,126,342223.8238983941,4158871.787201845,125.00000000006258,2286.129128098748,129.49456871245562,-21.58304035804378
1,,127,342224.71939546487,4158872.2322692513,125.99999999993202,2285.733542452391,130.56997003444786,-22.471342903443663
1,,128,342225.61489253567,4158872.677336658,127.00000000006082,2285.3199147433365,131.6521381738583,-17.379733878312816
1,,129,342226.5103896064,4158873.122404064,127.99999999993025,2285.006922143923,132.699976122697,-18.283994536961647
1,,130,342227.40588667715,4158873.5674714707,129.00000000000693,2284.6765136368235,133.75314742012068,-16.400860214323753
1,,131,342228.30138374795,4158874.012538877,129.9999999999285,2284.382181317369,134.79556361057368,-17.57574059620785
1,,132,342229.1968808187,4158874.4576062835,131.00000000000517,2284.065428582091,135.8445308624264,-17.13289042938282
1,,133,342230.09237788944,4158874.90267369,132.00000000008185,2283.757159925902,136.8909674656384,-6.9930608936629595
1,,134,342230.9878749602,4158875.3477410963,132.99999999995129,2283.6344982993046,137.89846231643338,-17.96213941754124
1,,135,342231.883372031,4158875.792808503,134.0000000000801,2283.3103089997862,138.9496990653058,-14.065667949950829
1,,136,342232.7788691017,4158876.237875909,134.99999999994952,2283.059763278484,139.9806079643855,-10.516627991455096
1,,137,342233.67436617246,4158876.6829433157,136.0000000000262,2282.8741240351974,140.99769297990846,-7.70170288154603
1,,138,342234.56986324326,4158877.128010722,136.99999999994776,2282.738888466237,142.00679587800914,-9.901796151863863
1,,139,342235.465360314,4158877.5730781285,138.00000000002444,2282.564328223505,143.02191719021567,-5.543018110440064
1,,140,342236.36085738475,4158878.0181455347,138.99999999989387,2282.467281351552,144.02661520210518,-6.852535180054641
1,,141,342237.2563544555,4158878.4632129413,139.99999999997056,2282.3471085196256,145.0338100738587,-11.314516599979157
1,,142,342238.1518515263,4158878.908280348,141.00000000009936,2282.1470253098532,146.0536302987466,-7.566869230480285
1,,143,342239.047348597,4158879.353347754,141.9999999999688,2282.0141853126274,147.06241494603353,-0.2856803978565305
1,,144,342239.94284566777,4158879.7984151607,143.00000000004547,2282.0091992077564,148.06242737665383,-4.694483250267777
1,,145,342240.83834273857,4158880.243482567,143.99999999996703,2281.9270811775073,149.06579339697498,-1.5451478583423797
1,,146,342241.7338398093,4158880.6885499735,145.0000000000437,2281.900106720405,150.0661571415646,-5.482124606732983
1,,147,342242.62933688005,4158881.1336173797,145.99999999991314,2281.804132539828,151.07075210625248,-5.523515107407844
1,,148,342243.5248339508,4158881.5786847863,146.99999999998983,2281.707429253976,152.0754169885132,0.14611121205137015
1,,149,342244.4203310216,4158882.0237521925,147.99999999991138,2281.709979381228,153.07542024000398,-0.24190164402768133
1,,150,342245.31582809234,4158882.468819599,148.99999999998806,2281.7057573759876,154.07542915270506,-3.7355780541338763
1,,151,342246.2113251631,4158882.9138870058,150.00000000006474,2281.6404667007764,155.07755832223506,-3.618769593940691
1,,152,342247.1068222339,4158883.358954412,150.9999999999863,2281.577223138834,156.0795562004615,-1.7535599262644674
1,,153,342248.0023193046,4158883.8040218186,152.00000000006298,2281.546608184982,157.0800247284786,-2.1065594659434654
1,,154,342248.89781637536,4158884.2490892247,152.9999999999324,2281.5098252109065,158.0807009932719,2.0099021627772014
1,,155,342249.79331344616,4158884.6941566314,154.00000000006122,2281.544919017546,159.0813165915523,-0.37875597001332395
1,,156,342250.6888105169,4158885.1392240375,154.99999999993065,2281.538308382515,160.08133844143077,-2.1223186758038444
1,,157,342251.58430758765,4158885.584291444,156.00000000000733,2281.5012499833997,161.08202486838897,-1.9508804682314271
1,,158,342252.4798046584,4158886.0293588503,156.99999999987676,2281.4671875314234,162.08260482540064,-1.117326450722725
1,,159,342253.3753017292,4158886.474426257,158.00000000000557,2281.447684033645,163.0827950006589,-5.100191494706142
